"MMM.Close","AXP.Close","AMGN.Close","AAPL.Close","BA.Close","CAT.Close","CVX.Close","CSCO.Close","KO.Close","DOW.Close","GS.Close","HD.Close","HON.Close","IBM.Close","INTC.Close","JNJ.Close","JPM.Close","MCD.Close","MRK.Close","MSFT.Close","NKE.Close","PG.Close","CRM.Close","TRV.Close","UNH.Close","VZ.Close","V.Close","WBA.Close","WMT.Close","DIS.Close"
145.240005,108.010002,204.419998,72.330002,280.619995,124.379997,94.389999,40.040001,56.060001,40.560001,203.429993,227.940002,161.889999,128.899994,55.970001,135.589996,116.959999,199.509995,79.129997,164.509995,90.93,118.169998,169.369995,125.309998,261.399994,55.700001,185.729996,46.119999,112.910004,116.449997
153.979996,115.699997,215.110001,75.684998,283.119995,127.400002,98.529999,41.389999,58.919998,41.91,208.740005,241.080002,171.190002,134.220001,58.68,143.479996,119.849998,207.020004,82.970001,170.550003,93.790001,124.5,175.690002,131.529999,289.420013,58.119999,194.289993,48.689999,116.769997,119.18
151.410004,110.940002,212.119995,73.230003,260.369995,121.970001,97.190002,39.57,56.740002,40.099998,198.789993,234.809998,164.919998,129.550003,56.959999,142.009995,113.970001,198.320007,81.580002,166.270004,90.580002,121.629997,169.600006,128.020004,282.959991,57.16,186.960007,48.779999,115.919998,113.980003
153.649994,108.239998,210.649994,72.2575,262.329987,121.410004,95.32,39.68,55.259998,38.970001,192.850006,228.509995,164.029999,127.730003,55.77,142.029999,108.080002,198.860001,82.199997,161.570007,88.360001,121.660004,164.080002,124.839996,283.869995,56.869999,184.360001,50.509998,117.230003,115.269997
144.059998,98.290001,198.369995,66.542503,227.169998,104.07,80.669998,37.959999,51.860001,30.530001,172.809998,210.460007,152.860001,117.809998,50.849998,136.440002,93.440002,186.860001,78.959999,150.619995,84.110001,116.059998,151.210007,116.199997,273.440002,55.830002,171.130005,48.439999,117.160004,104.349998
153.300003,103.300003,206.800003,71.334999,231.009995,106.489998,84.980003,40.080002,53.66,31.4,184.350006,225.699997,161.690002,124.769997,53.98,141.639999,100.699997,199.860001,82.019997,160.919998,88.300003,120.550003,161.339996,119.57,280,56.52,182.600006,49.16,119.790001,111.459999
147.240005,95.379997,198.649994,68.857498,189.080002,100.690002,83.029999,37.049999,52.209999,27.99,171.889999,212.889999,153.389999,117.970001,51.66,131.800003,95.959999,188.25,79.25,153.630005,84,111.589996,154.570007,112.599998,277.779999,54.830002,172.949997,46.07,114.43,105.510002
133.580002,83.529999,182.240005,62.057499,154.839996,92.260002,76.260002,33.200001,47.16,23.67,150.679993,190.589996,134.850006,102.809998,45.540001,125.410004,88.050003,170.130005,74.449997,139.059998,74.199997,101.839996,140.589996,102.18,250.410004,51.200001,160.080002,41.02,104.050003,91.809998
141.679993,99.599998,202.100006,69.4925,170.199997,99.639999,83.419998,37.639999,48.470001,25.690001,177.169998,205.669998,149.410004,107.949997,54.43,134.289993,103.910004,177.130005,76.75,158.830002,75.580002,114.07,147.779999,107.449997,272.040009,54.169998,175.830002,46.189999,114.099998,102.519997
130.910004,85.870003,188.679993,60.552502,129.610001,93.410004,69.699997,33.709999,45.259998,22,154.660004,164.960007,135.270004,99.080002,44.610001,127.129997,88.360001,149.009995,69.919998,135.419998,66.790001,108.5,124.300003,85.099998,225.039993,50.990002,152.009995,45.080002,106.760002,95.010002
134.440002,86.580002,207.800003,63.215,124.139999,100.199997,70.690002,35.5,47.18,26.6,158.669998,173.639999,131.800003,106.650002,50.080002,136.589996,93.760002,147.619995,74.480003,146.570007,69.839996,118.239998,135.419998,96.410004,244.220001,54.310001,157.889999,49.599998,119.260002,93.529999
